공공서비스 고유 식별자,서비스명,남성,여성,대상연령(시작),대상연령(종료),중위소득 0~50%,중위소득 51~75%,중위소득 76~100%,중위소득 101~200%,중위소득 200% 초과,예비부모/난임,임산부,출산/입양,농업인,어업인,축산업인,임업인,초등학생,중학생,고등학생,대학생/대학원생,해당사항없음,근로자/직장인,구직자/실업자,장애인,국가보훈대상자,질병/질환자,다문화가족,북한이탈주민,한부모가정/조손가정,1인가구,해당사항없음.1,다자녀가구,무주택세대,신규전입,확대가족,예비창업자,영업중,생계곤란/폐업예정자,음식적업,제조업,기타업종,중소기업,사회복지시설,기관/단체,제조업.1,"농업,임업 및 어업",정보통신업,기타업종.1
119200000056,안전복지형 연근해어선 기반구축,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000059,어업활동 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000066,어업인 역량 강화 교육 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000067,어업인안전조업교육지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000070,창업어가멘토링지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000073,어업인및어업인후계자교육지원(수산업경영인교육),Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000074,천일염 장기저장시설 설치지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,Y,,Y,,
119200000076,어촌지도자교육지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000077,천일염포장재지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,Y,,Y,,
119200000078,염전 바닥재 개선 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,
119200000082,수산물 물류환경 개선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
119200000085,항로표지 전문교육 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
119200000097,어선어업생산자 단체 자조금 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
119200000109,인증부표 교체비용 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000110,패각 친환경 처리지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000111,수산동물질병 예방백신 공급 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,
119200000113,"방역사업비 지원(질병 예찰 및 방역, 교육)",Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,
119200000115,수산생물 방역장비 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,
119200000116,쏙 구제 장비 구매 및 임대료 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,
119200000117,기생충 구제 경비 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000118,낚시 전문교육 제공,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000120,자율관리어업 우수 공동체 육성사업비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
119200000126,양식장 친환경에너지 보급,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000128,국내 물류센터 이용 지원,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000129,해외 공동물류센터 이용 지원,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000130,리스크안전망 구축,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000133,수산식품 선도조직 육성,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000135,수산식품 유망상품화,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000136,수산식품 기업 바우처,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000137,수산식품 국제인증 지원,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000138,수산식품 무역지원센터,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000139,국제수산식품박람회,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000143,수산식품 가공설비 지원,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000145,활어컨테이너 제작 지원,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000153,원양어선원 해외묘지 관리 및 국내이장 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
119200000154,러시아감독관 승선선박 경비 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
119200000157,수산장비 임대,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000162,선원복지고용센터 운영,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
119200000164,수산식품 무역상담회,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000165,수산물통합마케팅,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
119200000166,이동수리소 운영,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000168,해외진출 및 협상전문관 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
119200000173,원양산업 통계조사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
119200000174,청년어촌정착지원,Y,Y,18.0,39.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000176,해양문화행사 및 해양영토 대장정,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,Y,Y,Y,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000191,조건불리지역 직접지불제,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000192,수산업경영인육성사업,Y,Y,18.0,50.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000193,e-Nav 선박단말기 구매비용 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000194,수산자원보호 직접지불제,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,,,Y,,
119200000195,"친환경 수산물(배합사료, 인증) 생산지원 직불제 지원",Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
122000000003,원산지검증 대응 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,Y,Y,,Y
124000000001,취약계층 초등학생 통계교육 지원,Y,Y,10.0,12.0,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
125000000004,북한이탈주민 자산형성 지원 (미래행복통장),Y,Y,18.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,
125000000014,북한이탈주민 정착금 지원(기본금),Y,Y,19.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,
125000000015,북한이탈주민 정착금 지원(가산금),Y,Y,60.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,
127000000002,취약계층 무료 법률서비스 제공(법률홈닥터 변호사),Y,Y,0.0,120.0,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
127000000022,특별공로자 및 우수인재 등 국적 신청자의 수수료 면제,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
127000000023,인도적 사유가 있는 자의 국적취득 및 증명 발급 수수료 면제,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
127000000025,"성폭력, 아동학대, 인신매매등범죄의 피해 아동과 범죄 피해자인 장애인을 위한 진술조력인 지원",Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,
127000000026,"성폭력, 아동학대, 장애인학대,인신매매 및 스토킹범죄 피해자 국선변호사 지원",Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
127000000037,소년원 출원생 등 소외계층 청소년을 위한 청소년자립생활관 운영 지원,Y,Y,13.0,18.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
128000000001,범죄 피해 구조금 지급,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
128000000002,이전비 지원,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
128000000003,범죄피해자에 대한 경제적 지원,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
128000000004,범죄수익환수 포상금 지급,Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
129000000007,군인 재해보상 유족급여 지급,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
129000000008,특수임무수행자와 그 유족에 대한 보상,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
129000000009,장병 인권상담 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
129000000013,전역예정군인 재취업 지원,Y,Y,18.0,32.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
129000000014,6·25 비정규군 공로자 보상,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
129000000015,전역예정장병 취업활동지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
129000000029,병 자기개발비용 지원 사업,Y,Y,18.0,40.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
131200000002,지방공무원 신규 임용시험 응시 수수료 면제,Y,Y,18.0,120.0,Y,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
131200000004,장애인차량취득세및자동차세감면,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
131200000005,노인복지시설 지방세 감면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
131200000006,국가유공자 등이 대부금으로 취득하는 부동산 취득세 감면,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
131200000008,다자녀가구 자동차취득세 감면,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,
131200000010,영유아 보육시설 지방세 감면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
131200000011,국가유공자 단체 등에 대한 지방세 감면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
131200000012,사회복지법인 지방세 감면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
131200000013,사회적기업 지방세 감면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
131200000014,국가유공자 차량취득세 및 자동차세 감면,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
132000000001,외국인 범죄 예방교실 운영 지원,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,
132000000002,다문화 가족 및 취약계층 대상 운전면허교실 운영 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,
132000000003,외국인 도움센터 운영 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,
132000000006,운전면허 적성검사 간소화 서비스 제공,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
132000000008,범죄피해자 보호·지원,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
132000000009,참고인 여비 지급,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
134200000003,교육급여,Y,Y,6.0,19.0,Y,,,,,,,,,,,,Y,Y,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000006,국립특수학교 및 국립부설학교 특수학급 지원,Y,Y,6.0,20.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000007,대학원 학과 기반 교육연구단 연구장학금 등 지원(4단계 두뇌한국21 사업),Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000008,글로벌 현장학습 프로그램 운영,Y,Y,0.0,120.0,Y,,,,,,,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000010,장애학생 가족 참여 국외체험 연수 지원,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,Y,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000011,인문100년장학금,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000014,대학입학전형료 면제·감액,Y,Y,16.0,19.0,Y,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000045,평생교육바우처 지원,Y,Y,19.0,120.0,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200000046,중소기업 취업연계 장학금 (희망사다리Ⅰ유형),Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200005001,고졸 후학습자 장학금 (희망사다리Ⅱ유형),Y,Y,18.0,64.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200005002,국가장학금 Ⅱ유형 (대학 연계지원형),Y,Y,18.0,34.0,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200005007,위(Wee) 클래스 상담 지원,Y,Y,6.0,19.0,Y,Y,Y,Y,Y,,,,,,,,Y,Y,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200005012,가정양육수당 지원,Y,Y,2.0,7.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
134200005030,어린이집 조회,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
134200005036,영유아보육료 지원,Y,Y,0.0,5.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000002,의료급여 틀니·치과임플란트 지원,Y,Y,65.0,120.0,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000005,임산부 및 영유아 영양플러스,,Y,18.0,44.0,Y,Y,Y,,,,Y,Y,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000006,소년소녀가정 지원,Y,Y,0.0,17.0,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000008,희귀질환 진단지원,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000010,아동 공동생활 가정 운영 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
135200000012,학대피해아동쉼터 지원,Y,Y,0.0,18.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
135200000015,노인실명예방사업,Y,Y,60.0,120.0,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000017,장애인·노인 보조기기 맞춤형 서비스 (지역 보조기기센터),Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000019,입원환자 등에 대한 일상용품의 지급,Y,Y,0.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
135200000080,치매관리 서비스 (치매안심센터),Y,Y,60.0,120.0,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
